is_male,is_loyal_customer,age,is_business_travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes
0,1,16,0,Eco Plus,1851,2,4,2,2,2,2,2,2,2,1,4,5,1,2,0,3.0
0,1,69,0,Eco,604,2,4,2,3,2,4,4,5,5,2,5,3,5,5,23,64.0
1,1,65,0,Eco,641,2,5,2,3,4,2,4,4,5,3,4,4,5,4,0,0.0
1,1,23,0,Eco,2704,2,4,2,4,3,2,3,3,4,5,4,5,4,3,5,0.0
0,1,31,1,Business,2814,5,5,2,5,4,4,4,4,5,1,1,3,3,4,0,0.0
1,0,34,1,Business,302,3,3,3,3,4,3,3,4,5,4,4,3,5,4,0,0.0
0,0,22,1,Eco,980,4,4,4,3,2,4,2,2,4,4,3,5,3,2,0,0.0
1,1,59,1,Business,1303,1,3,1,1,4,5,5,5,5,5,5,4,5,5,0,0.0
1,1,17,0,Eco,305,3,4,2,4,2,2,2,2,5,4,2,4,3,2,0,1.0
1,0,47,1,Eco,187,1,2,1,4,5,1,5,5,4,3,3,3,4,5,0,0.0
0,1,14,0,Eco,209,3,5,3,3,4,3,4,4,5,4,5,3,1,4,38,39.0
1,0,18,1,Eco Plus,130,1,4,1,3,1,1,1,1,1,5,4,3,3,1,0,0.0
1,1,46,1,Business,297,3,3,3,3,5,4,4,3,3,3,3,4,3,4,20,32.0
1,0,28,1,Business,972,3,3,3,3,1,3,1,1,4,5,5,5,4,1,0,0.0
0,1,55,0,Eco,867,3,3,3,4,2,3,4,4,4,3,5,4,4,1,3,7.0
1,1,22,1,Eco Plus,1431,3,1,2,1,3,3,3,3,1,1,3,4,4,3,0,0.0
0,1,27,1,Eco Plus,110,4,2,2,2,4,4,4,4,3,4,4,1,4,4,47,38.0
0,1,48,1,Eco,818,5,1,1,1,5,2,2,5,5,5,5,1,5,2,0,0.0
1,1,46,1,Business,3007,2,2,2,2,4,4,4,5,5,5,5,3,5,4,8,12.0
1,1,59,1,Business,1620,5,2,5,5,5,4,4,4,4,4,4,4,4,5,0,0.0
1,0,30,1,Business,2295,4,5,5,1,5,5,5,5,2,4,4,5,3,5,7,0.0
1,0,44,1,Business,396,3,3,3,4,4,3,4,4,4,4,5,4,5,4,0,3.0
0,1,10,0,Eco,247,4,1,4,3,2,4,2,2,4,4,2,2,2,2,5,0.0
0,1,18,1,Business,3157,3,3,2,2,3,3,3,3,3,4,3,1,2,3,0,0.0
0,1,42,1,Business,833,4,4,4,4,2,5,5,3,3,4,3,4,3,3,22,34.0
1,1,42,1,Business,1558,2,2,2,2,4,5,5,5,5,5,5,3,5,5,0,0.0
1,0,26,1,Business,349,3,3,3,4,2,3,2,2,3,2,3,2,3,2,0,0.0
0,1,41,0,Eco,2454,4,2,3,3,1,3,1,1,2,1,2,2,3,1,1,0.0
1,1,64,1,Eco,130,3,2,2,2,3,3,3,3,4,4,4,3,4,3,2,3.0
0,1,56,1,Business,366,1,1,1,1,2,5,5,4,4,4,4,5,4,3,34,32.0
0,1,39,1,Business,295,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,4.0
1,1,42,1,Business,1598,3,3,3,3,5,4,4,4,4,4,4,4,4,4,0,1.0
1,0,37,1,Eco,114,2,5,2,3,4,2,4,4,2,4,2,3,5,4,0,0.0
0,1,46,1,Business,2149,5,5,5,5,3,4,5,4,4,4,4,4,4,4,82,57.0
0,1,33,1,Business,1379,3,3,3,3,5,5,5,4,4,4,4,4,4,3,3,0.0
0,0,22,1,Business,1242,4,0,4,4,3,4,1,3,4,2,5,5,4,3,25,41.0
1,1,7,0,Eco,944,2,1,2,3,4,2,4,4,3,2,3,2,4,4,1,0.0
0,1,58,0,Eco,594,2,4,2,4,4,4,3,2,2,2,1,3,2,4,0,2.0
0,0,22,1,Eco,214,3,2,3,4,4,3,4,4,4,1,4,2,3,4,0,0.0
0,0,24,1,Eco,1201,4,3,3,5,5,3,5,5,3,1,5,1,2,5,0,0.0
1,1,8,0,Eco,300,2,4,2,1,3,2,3,3,5,4,5,4,5,3,0,14.0
1,1,72,1,Business,2068,2,2,2,2,2,3,3,2,2,3,2,2,2,3,0,8.0
1,1,39,0,Business,390,4,5,4,3,1,1,1,1,1,4,1,5,1,4,0,0.0
0,0,24,1,Eco,641,1,0,1,5,3,1,3,3,3,2,1,3,1,3,0,0.0
1,1,72,1,Business,272,2,2,2,2,5,5,4,4,4,4,4,3,4,5,3,7.0
1,1,39,1,Business,1460,5,5,5,5,2,4,5,4,4,4,4,4,4,3,0,14.0
0,1,27,1,Business,837,4,4,4,4,4,4,4,4,4,2,3,2,1,4,130,124.0
1,1,38,1,Business,2554,1,1,1,1,3,4,4,5,5,5,5,5,5,5,0,0.0
1,1,52,1,Eco,164,4,4,4,4,5,4,5,5,3,2,2,2,4,5,43,39.0
1,1,51,1,Business,2342,5,5,5,5,2,3,4,5,5,5,5,4,5,5,2,15.0
0,1,37,1,Business,3572,2,2,2,2,3,4,4,4,4,5,4,4,4,3,0,0.0
0,1,37,1,Business,605,5,5,2,5,2,4,5,5,5,5,5,4,5,3,13,4.0
0,1,41,1,Eco,888,3,3,3,3,3,3,3,3,2,1,4,2,3,3,13,0.0
0,1,70,0,Eco,1144,2,2,2,4,5,3,3,5,5,2,5,3,5,3,1,0.0
0,0,44,1,Eco,358,3,3,3,3,4,3,4,4,4,2,3,2,3,4,14,11.0
0,1,36,1,Business,3943,5,5,5,5,3,5,5,5,5,5,4,3,5,3,18,17.0
1,1,59,1,Business,351,2,2,2,2,2,5,5,5,5,5,5,4,5,3,0,0.0
1,1,55,1,Business,787,5,5,5,5,5,4,5,5,5,5,5,3,5,4,24,21.0
1,1,52,1,Business,1158,4,4,4,4,2,5,5,5,5,5,5,5,5,4,0,0.0
0,1,9,0,Eco,370,1,4,1,4,4,1,4,4,1,3,4,2,4,4,49,45.0
1,1,63,0,Eco,370,1,3,1,4,2,1,2,2,2,2,2,1,3,2,3,3.0
1,1,25,0,Eco,216,2,1,2,3,5,2,5,5,1,4,2,2,3,5,0,0.0
1,1,36,1,Business,224,2,2,2,2,1,5,3,3,3,4,3,3,3,1,0,2.0
1,1,28,1,Eco,282,5,1,5,1,5,5,5,5,3,5,1,4,2,5,0,0.0
0,1,51,1,Business,967,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0.0
1,1,46,1,Business,1334,4,4,4,4,5,4,4,4,4,4,4,5,4,4,3,0.0
1,1,59,0,Eco,1197,3,2,3,4,4,3,2,4,2,5,2,4,4,4,8,1.0
1,1,44,1,Business,576,2,1,1,1,1,4,4,2,2,2,2,3,2,3,30,25.0
1,1,33,0,Eco,1182,4,4,4,4,2,4,2,2,4,5,4,4,4,2,0,0.0
1,1,44,0,Eco,101,4,4,4,3,3,4,3,3,3,3,4,5,4,3,0,0.0
0,1,48,1,Business,3183,2,2,3,2,3,5,4,5,5,5,5,3,5,4,8,0.0
1,1,46,1,Business,3872,5,5,5,5,5,4,5,4,4,4,4,5,4,3,0,0.0
0,0,32,1,Business,942,2,2,2,2,5,2,5,5,4,2,4,4,5,5,7,0.0
1,1,38,0,Eco,304,1,5,1,4,1,1,1,1,3,5,5,5,4,1,0,0.0
0,1,69,0,Business,645,3,5,2,2,2,4,3,2,2,2,2,3,2,2,69,46.0
0,1,38,1,Eco,1608,2,4,2,2,2,2,2,4,5,3,3,2,3,2,138,132.0
1,1,44,0,Eco Plus,1428,3,4,3,2,3,3,3,3,1,1,1,5,1,3,0,0.0
0,1,51,0,Eco,481,3,3,3,4,1,1,1,2,2,3,2,4,2,3,33,64.0
1,1,52,1,Business,2143,3,2,2,2,1,2,2,3,3,3,3,3,3,3,0,0.0
1,1,57,1,Business,583,1,1,1,1,2,5,5,4,4,4,4,4,4,4,0,9.0
0,0,62,1,Business,1744,1,0,0,2,1,1,1,1,4,2,4,3,4,1,16,35.0
0,1,31,1,Business,980,4,1,1,1,4,3,4,4,4,4,3,2,4,4,0,0.0
0,0,33,1,Eco,192,2,5,2,3,5,2,5,5,3,2,5,2,5,5,0,0.0
0,1,53,0,Eco,102,2,4,2,3,4,5,4,2,2,2,2,3,2,3,3,5.0
0,1,21,0,Eco,570,2,1,2,2,3,2,3,3,3,2,2,4,2,3,0,0.0
1,1,22,0,Eco,361,1,2,5,2,3,5,3,3,2,1,3,2,3,3,0,0.0
1,0,18,1,Eco,502,1,2,1,3,1,4,4,3,1,4,3,4,2,4,148,155.0
1,1,58,1,Business,164,4,4,4,4,3,4,5,4,4,4,4,4,4,3,0,0.0
1,0,22,1,Eco,323,5,4,5,3,1,5,4,1,5,3,4,4,5,1,0,0.0
1,1,45,1,Business,3730,3,3,3,3,5,4,4,4,4,4,4,4,4,4,2,0.0
0,1,17,1,Business,1538,1,5,3,5,1,1,1,1,1,3,3,1,4,1,0,10.0
1,1,61,0,Eco,761,4,4,4,4,3,4,3,3,4,2,4,5,5,3,0,0.0
0,1,45,0,Eco,268,3,2,3,5,3,5,5,3,3,3,5,4,3,3,0,1.0
0,1,29,1,Business,1637,1,2,3,2,1,1,1,1,2,4,3,2,3,1,19,76.0
0,1,38,1,Business,308,3,3,3,3,4,3,3,4,2,4,5,3,4,3,135,134.0
0,1,48,0,Eco Plus,862,2,4,1,4,3,4,4,4,4,1,4,3,4,5,0,0.0
0,1,63,1,Eco,342,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,0.0
0,1,56,0,Eco,1972,4,2,4,3,5,3,3,3,3,4,3,3,3,2,0,0.0
1,1,39,1,Business,328,0,0,0,3,5,1,1,5,5,5,5,3,5,2,0,0.0
1,1,43,1,Business,425,2,4,4,4,1,4,4,2,2,2,2,1,2,4,0,0.0
0,1,23,1,Business,1947,2,5,5,5,2,2,2,2,4,4,4,1,4,2,0,0.0
0,0,27,1,Eco,2342,1,1,1,3,2,1,2,2,4,3,2,4,3,2,0,2.0
0,1,15,0,Business,214,3,4,3,4,5,3,5,5,4,2,5,5,5,5,0,0.0
0,1,58,1,Business,236,1,1,1,1,3,4,4,5,5,5,5,5,5,5,0,0.0
1,0,27,1,Business,1331,5,5,5,4,5,4,4,5,2,4,4,4,3,4,0,0.0
1,1,49,1,Eco,1016,4,1,1,1,4,4,4,4,4,2,1,4,1,4,0,34.0
1,0,21,1,Business,393,0,0,0,4,4,0,4,4,4,2,4,4,4,4,2,27.0
0,1,28,1,Business,1096,2,2,2,2,2,2,2,2,3,4,5,4,5,2,0,0.0
0,1,50,1,Business,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15.0
0,1,42,1,Business,2765,1,1,1,1,3,4,5,5,5,5,5,4,5,5,0,6.0
1,1,45,1,Business,181,5,5,5,5,4,1,5,5,5,4,5,2,5,2,0,0.0
1,1,20,0,Eco,600,5,1,5,4,2,5,2,2,4,1,4,2,4,2,0,5.0
1,1,41,0,Eco,1205,2,5,2,4,4,2,4,4,4,1,3,3,4,4,0,0.0
1,0,43,1,Eco,378,3,0,4,5,2,4,2,2,3,5,5,1,3,2,0,0.0
0,1,26,1,Business,977,3,4,5,5,3,3,3,3,2,3,3,1,3,3,8,15.0
1,1,22,1,Business,3858,4,4,4,4,2,3,2,2,3,2,5,4,4,2,0,0.0
0,1,43,1,Business,3118,2,4,4,4,2,3,4,2,2,2,2,4,2,4,2,0.0
0,1,28,1,Business,526,3,3,3,3,4,4,4,4,2,5,4,4,4,4,0,0.0
1,1,28,0,Eco,184,4,5,4,3,2,4,2,2,5,4,4,5,4,2,0,0.0
1,0,24,1,Eco,997,2,2,2,3,1,2,1,1,3,5,5,3,5,1,0,0.0
0,1,46,1,Business,2104,1,1,1,1,4,5,1,2,2,2,2,1,2,4,10,6.0
0,1,49,0,Eco,1337,1,5,2,3,3,5,4,4,4,2,1,5,4,5,0,15.0
1,1,26,1,Business,834,2,5,5,5,2,2,2,2,3,1,2,2,2,2,4,9.0
0,1,39,0,Eco,481,4,3,4,4,3,4,3,3,1,1,4,2,3,3,4,16.0
0,0,33,1,Eco,628,2,4,2,3,3,2,3,3,3,1,3,3,1,3,0,0.0
1,0,23,1,Eco,558,0,0,0,3,3,0,3,3,4,4,1,4,3,3,0,0.0
1,0,21,1,Eco,453,1,1,1,2,3,1,3,3,3,3,1,1,1,3,0,25.0
1,1,50,1,Business,1849,4,4,1,4,3,5,4,4,4,4,4,4,4,3,18,24.0
0,0,39,1,Business,965,2,2,2,1,3,2,3,3,1,5,4,3,4,3,0,0.0
1,1,58,1,Eco,239,5,5,5,5,5,5,5,5,2,3,1,2,4,5,15,24.0
1,1,39,1,Eco,421,4,5,5,5,4,4,4,4,3,2,1,2,3,4,0,0.0
1,1,46,0,Eco Plus,289,3,4,3,3,3,3,3,3,5,4,4,4,4,3,0,0.0
0,1,67,1,Business,328,0,0,0,2,2,3,4,2,2,2,2,4,2,3,0,0.0
0,1,25,0,Eco,1120,1,4,1,3,1,1,1,1,5,4,5,3,4,1,0,0.0
0,1,38,1,Business,1587,4,4,4,4,2,5,4,4,4,4,4,3,4,4,0,3.0
0,1,38,0,Eco,515,2,5,2,3,5,2,5,5,4,3,5,5,5,5,0,0.0
0,0,30,1,Business,1521,2,2,2,1,4,2,4,4,3,2,4,3,5,4,2,4.0
1,1,42,1,Business,3287,1,1,1,1,3,5,5,4,4,5,4,5,4,4,0,0.0
1,1,44,0,Eco Plus,651,1,2,1,3,5,1,1,5,2,3,3,4,4,5,0,0.0
1,1,24,0,Eco,679,3,5,3,3,1,3,1,1,3,2,4,5,5,1,0,0.0
1,1,39,1,Eco,413,3,1,1,1,3,3,3,3,3,3,3,3,2,3,0,14.0
0,0,11,1,Eco,737,3,3,3,4,4,3,4,4,2,1,4,3,4,4,27,76.0
1,1,34,0,Eco,628,2,4,2,1,3,2,3,3,4,5,5,3,4,3,0,0.0
0,1,68,0,Eco,391,3,4,3,3,2,4,4,1,1,3,5,3,1,5,12,0.0
1,1,31,1,Business,2033,1,1,1,1,4,4,4,4,4,1,1,4,2,4,38,31.0
1,1,25,0,Eco Plus,1440,2,5,2,4,1,2,1,1,5,5,4,3,4,1,0,0.0
1,1,19,1,Business,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0
1,1,49,1,Business,867,5,5,5,5,2,4,4,4,4,4,4,4,4,3,5,5.0
1,0,23,1,Eco,926,0,0,0,2,3,0,3,3,5,4,4,4,4,3,46,52.0
1,1,15,0,Eco,862,3,3,3,4,4,3,4,4,3,3,3,4,3,4,10,1.0
0,0,39,1,Business,216,4,5,5,3,4,5,4,4,1,5,4,1,2,4,0,0.0
0,1,60,1,Eco,695,4,4,4,4,1,4,2,4,4,4,4,2,4,2,36,25.0
1,1,49,0,Eco,102,1,4,1,5,4,1,4,4,3,1,4,1,2,4,0,1.0
0,1,42,1,Business,1891,3,3,3,3,1,2,1,5,5,5,5,4,5,3,0,0.0
1,1,43,1,Business,1670,3,3,3,3,4,5,5,4,4,4,4,5,4,4,12,0.0
1,1,28,1,Eco,978,5,4,3,3,5,5,5,5,3,2,4,1,2,5,0,0.0
1,1,40,1,Business,449,1,3,3,3,2,3,4,1,1,1,1,3,1,3,50,49.0
1,1,37,1,Business,2611,2,5,5,5,2,2,2,1,4,3,2,2,2,2,28,9.0
0,1,44,1,Business,3931,5,5,5,5,2,4,4,5,5,5,5,3,5,4,28,43.0
0,0,16,1,Eco,489,2,3,2,4,4,2,4,4,1,4,4,2,3,4,36,12.0
0,1,51,0,Eco,308,2,2,2,3,4,3,4,3,3,2,3,2,3,4,0,0.0
1,1,36,1,Business,3608,3,3,3,3,1,1,3,4,4,5,4,4,4,2,3,0.0
0,1,29,1,Eco,946,5,4,4,4,5,5,5,5,5,3,1,4,1,5,1,0.0
1,1,51,1,Business,3420,2,5,5,5,5,4,4,2,2,2,2,3,2,2,0,0.0
0,0,22,1,Eco,944,5,5,5,1,5,5,5,5,4,1,5,2,5,5,11,0.0
1,0,24,1,Eco,1052,1,1,1,4,2,1,2,2,4,2,5,4,5,2,2,0.0
0,0,32,1,Business,248,3,3,3,3,1,3,1,1,5,4,4,3,5,1,31,29.0
0,1,45,0,Eco,177,1,4,1,3,1,5,5,1,2,3,3,5,4,5,125,158.0
0,1,22,1,Business,3205,2,5,1,5,2,2,2,2,4,3,3,1,3,2,47,41.0
1,1,40,1,Eco,817,3,4,4,4,3,3,3,3,1,5,4,1,2,3,0,0.0
0,0,24,1,Business,571,5,0,5,4,1,5,1,1,3,1,4,2,4,1,0,0.0
0,0,43,1,Business,157,3,3,3,4,5,3,5,5,3,2,4,4,5,5,1,0.0
1,0,26,1,Business,1587,3,3,3,5,2,3,2,2,4,5,4,5,4,2,0,6.0
1,1,56,1,Business,2655,1,1,3,1,4,4,4,3,5,4,5,4,3,4,121,137.0
1,1,55,1,Business,135,5,5,5,5,2,5,4,5,5,5,5,5,5,5,0,0.0
1,1,45,1,Business,2108,3,3,3,3,2,3,3,3,3,3,3,4,3,5,15,0.0
1,1,49,1,Business,606,1,2,2,2,3,4,4,1,1,1,1,1,1,1,0,0.0
0,1,57,1,Eco Plus,98,4,3,3,3,2,2,5,4,4,4,4,3,4,5,0,0.0
0,1,36,0,Eco,1009,2,2,2,4,1,2,1,1,3,3,3,1,3,1,60,55.0
1,1,55,1,Business,926,3,1,1,1,4,3,3,3,3,3,3,3,3,1,0,0.0
1,1,29,1,Business,748,2,5,3,5,2,1,2,2,4,2,3,2,3,2,0,0.0
1,1,52,1,Business,3827,2,2,2,2,5,4,4,4,4,5,4,4,4,5,0,0.0
1,1,68,0,Eco,449,2,2,2,2,2,2,2,2,2,3,2,4,2,2,13,13.0
0,1,18,0,Eco,1616,3,3,3,3,4,3,4,4,1,3,2,3,3,4,0,0.0
1,1,53,0,Eco,647,3,1,3,4,2,3,2,2,3,3,3,1,3,2,10,27.0
1,1,40,0,Eco,1590,3,4,3,5,3,3,3,3,3,3,4,3,5,3,18,7.0
0,1,14,0,Eco,421,1,4,1,1,1,1,1,1,1,4,3,3,1,1,49,50.0
0,1,79,1,Eco,736,4,4,3,4,5,2,3,4,4,4,4,1,4,1,0,0.0
1,1,22,0,Eco,646,5,5,5,3,1,5,1,1,5,2,5,3,1,1,0,0.0
0,1,47,1,Business,1007,5,5,5,5,2,5,4,5,5,5,5,3,5,3,72,49.0
0,0,47,1,Eco,530,4,0,4,3,2,4,2,2,2,2,1,4,2,2,0,0.0
1,1,56,1,Business,363,3,3,3,3,3,2,2,5,5,5,5,2,5,5,0,0.0
1,1,48,1,Business,1005,3,3,3,3,3,4,4,5,5,5,5,5,5,4,6,4.0
0,0,24,1,Eco,351,3,0,3,3,5,3,5,5,5,2,4,4,5,5,10,0.0
0,0,24,1,Business,711,2,4,2,4,5,2,5,5,3,4,3,1,3,5,0,0.0
1,1,45,1,Business,2174,1,1,1,1,5,4,5,5,5,4,5,3,5,3,0,0.0
1,1,48,1,Business,1109,5,5,5,5,3,4,4,5,5,5,5,5,5,4,0,13.0
0,1,69,1,Business,429,4,3,4,4,2,2,4,5,5,5,5,3,5,4,35,25.0
1,1,60,0,Eco,696,2,4,2,1,3,2,3,3,4,2,5,3,5,3,0,0.0
0,1,52,1,Business,2108,1,5,5,5,5,4,3,1,1,1,1,1,1,1,0,0.0
0,1,27,1,Business,1598,4,4,4,4,4,4,4,4,4,3,4,3,4,4,0,0.0
0,1,51,1,Business,1947,5,5,5,5,5,4,5,5,5,5,5,4,5,4,0,0.0
1,1,32,1,Eco,157,5,2,2,2,5,5,5,5,5,4,5,1,3,5,56,48.0
1,1,54,1,Business,1900,1,1,1,1,3,5,4,4,4,4,4,4,4,5,0,0.0
1,1,44,1,Business,1511,5,5,5,5,4,4,5,5,5,5,5,4,5,5,10,0.0
0,1,50,1,Eco,646,2,3,3,3,5,4,3,3,3,2,3,3,3,4,0,0.0
0,1,41,1,Business,2850,4,4,4,4,5,1,5,5,5,5,5,4,5,2,2,0.0
1,1,56,1,Business,3050,1,1,1,1,3,4,5,4,4,3,4,3,4,3,0,0.0
0,1,53,1,Business,3917,2,2,2,2,2,5,4,4,4,4,4,5,4,4,30,35.0
1,0,42,1,Eco,429,3,4,2,5,1,2,1,1,1,1,2,4,1,1,0,0.0
0,0,38,1,Business,404,4,4,4,4,5,4,5,5,5,5,4,4,5,5,0,0.0
0,1,69,0,Business,2136,1,5,1,4,2,5,4,1,1,1,1,4,1,3,0,1.0
0,1,52,0,Eco,551,2,3,2,2,1,1,5,3,3,2,3,4,3,5,4,4.0
0,1,35,0,Eco,222,1,5,0,4,2,0,5,2,3,2,4,5,1,2,0,0.0
0,1,51,0,Eco,349,2,5,4,2,1,5,1,4,4,4,4,3,4,5,0,0.0
0,1,38,1,Eco,248,3,3,3,3,3,3,3,3,1,1,4,1,3,3,9,9.0
1,1,50,1,Business,2992,1,1,1,1,2,5,4,2,2,2,2,4,2,4,51,45.0
1,1,51,1,Business,3528,5,5,5,5,2,2,1,4,4,4,4,3,4,4,10,14.0
0,1,32,1,Eco,2496,5,1,1,1,5,5,5,3,4,4,1,5,5,5,0,0.0
0,1,48,0,Eco,237,4,4,4,4,3,4,4,2,2,4,2,3,2,3,0,0.0
0,1,39,1,Business,283,1,5,5,5,2,3,4,1,1,1,1,2,1,1,5,10.0
0,0,28,1,Business,991,5,5,5,2,5,5,5,5,3,5,4,3,4,5,1,0.0
1,0,55,1,Business,1723,3,3,3,3,4,3,1,4,1,1,2,3,3,4,0,0.0
1,0,24,1,Eco,293,2,4,2,3,1,2,1,1,4,1,4,4,3,1,26,26.0
1,0,25,1,Eco,328,4,4,4,4,1,4,1,1,5,2,4,3,2,1,0,0.0
1,1,49,1,Business,1010,3,3,3,3,5,4,4,5,5,5,5,4,5,5,0,34.0
0,1,51,1,Business,2139,3,3,3,3,3,4,5,5,5,5,5,4,5,3,11,3.0
1,0,23,1,Eco,489,2,4,1,4,2,1,2,2,2,2,5,4,2,2,0,0.0
1,1,57,0,Eco,599,3,3,3,3,4,3,4,4,4,5,4,1,4,4,0,8.0
0,1,67,0,Eco,1119,3,5,3,5,1,4,4,5,5,3,5,1,5,2,82,76.0
0,1,33,1,Business,3404,4,4,4,4,5,4,5,4,4,4,4,5,4,4,0,0.0
1,1,45,0,Eco,630,2,4,1,4,2,1,2,2,3,4,4,4,5,2,0,1.0
1,1,35,1,Eco,302,3,4,4,4,3,3,3,3,1,1,3,2,4,3,26,7.0
1,0,30,1,Eco,265,2,3,2,2,5,2,5,5,3,3,2,1,3,5,0,0.0
1,1,43,1,Eco,1091,3,5,5,5,3,3,3,2,1,4,3,3,4,3,173,170.0
1,0,51,1,Eco,599,2,3,2,3,1,2,1,1,2,2,4,4,4,1,0,0.0
0,1,11,0,Eco,641,2,4,1,1,3,1,3,3,4,2,4,5,5,3,0,2.0
1,1,59,1,Business,356,3,5,5,5,3,3,4,3,3,3,3,4,3,2,0,0.0
0,1,17,1,Business,850,4,4,4,4,5,5,5,5,5,4,4,3,5,5,11,4.0
0,1,50,0,Eco,1009,3,4,3,1,5,3,3,3,3,3,3,5,3,1,0,0.0
0,1,48,1,Business,3076,2,2,2,2,2,5,5,5,5,4,5,5,5,4,62,40.0
1,1,8,0,Eco,787,4,3,4,4,2,4,2,2,4,4,1,3,1,2,0,0.0
1,1,51,1,Eco Plus,1020,2,4,4,4,2,2,2,2,1,2,4,2,3,2,0,0.0
1,1,58,0,Eco,834,3,5,3,3,2,3,2,2,5,5,5,4,4,2,0,0.0
0,1,68,1,Business,605,3,3,3,3,1,5,5,4,4,5,4,1,4,1,0,0.0
1,0,29,1,Eco,580,2,2,2,3,5,2,5,5,4,5,3,3,4,5,0,0.0
1,1,43,1,Business,3061,5,5,3,5,5,5,5,4,5,5,4,5,5,5,190,192.0
0,1,51,0,Business,612,2,1,3,3,1,3,2,2,2,3,3,1,2,2,0,0.0
1,1,23,0,Eco,978,2,5,2,1,3,2,5,3,4,5,5,4,5,3,32,17.0
1,1,38,1,Eco Plus,739,5,3,3,3,5,5,5,5,3,5,5,1,3,5,13,0.0
1,1,50,1,Business,2278,1,1,1,1,3,4,4,4,4,4,4,4,4,5,0,0.0
0,0,27,1,Eco,964,2,2,2,4,4,2,5,4,2,3,4,2,3,4,3,0.0
1,0,39,1,Business,277,4,4,4,1,3,4,3,3,4,4,4,3,4,3,0,0.0
0,1,39,1,Business,3743,0,0,0,2,2,5,5,5,5,5,2,4,5,3,0,0.0
1,0,47,1,Eco,425,3,0,3,2,1,3,2,1,4,5,2,1,3,1,0,0.0
0,1,68,0,Eco,895,2,3,2,3,4,4,4,5,5,2,5,4,5,4,0,0.0
0,1,43,1,Business,101,1,1,1,1,4,5,5,4,4,4,3,3,4,4,5,13.0
1,1,57,1,Business,2940,3,1,1,1,3,4,3,3,3,3,3,4,3,4,16,13.0
1,1,22,1,Business,3408,4,4,4,4,4,4,4,4,5,2,5,3,5,4,5,3.0
0,1,53,1,Business,1963,2,2,2,2,4,5,5,4,4,4,4,4,4,3,1,1.0
1,1,33,1,Business,352,2,2,2,2,5,5,5,5,4,2,2,5,2,5,0,0.0
1,1,16,0,Eco,425,4,3,5,4,3,5,3,3,5,3,4,5,4,3,7,0.0
0,1,46,0,Eco,2504,2,1,2,2,3,3,3,3,3,2,3,3,3,3,0,0.0
0,1,54,1,Business,335,5,5,5,5,3,5,4,4,4,4,4,3,4,5,0,0.0
1,1,54,1,Business,3758,5,5,5,5,3,5,4,4,4,4,4,4,4,5,43,37.0
1,1,41,1,Eco,1075,2,1,1,1,2,2,2,2,1,1,3,4,4,2,0,0.0
1,1,29,1,Business,2786,2,1,1,1,2,2,2,2,2,5,3,4,3,2,5,6.0
1,1,59,1,Business,2483,2,2,2,2,1,4,3,2,2,2,2,3,2,2,0,0.0
1,1,63,0,Eco,516,4,4,3,3,3,3,5,3,4,4,4,3,4,3,3,0.0
1,1,48,1,Business,1346,3,5,5,5,5,4,4,3,3,3,3,2,3,1,0,0.0
1,1,36,1,Business,179,2,2,2,2,4,3,4,4,4,4,5,3,4,1,0,4.0
1,1,32,1,Eco,163,5,4,4,4,5,5,5,5,5,1,2,2,2,5,0,0.0
0,0,33,1,Business,2556,3,3,3,2,5,3,1,5,3,3,5,5,4,5,0,0.0
0,0,49,1,Business,304,3,3,3,2,4,3,5,4,5,5,5,4,5,4,0,0.0
1,1,60,1,Business,533,5,5,5,5,5,4,4,2,2,2,2,5,2,3,0,0.0
1,0,40,1,Business,119,1,1,1,3,5,1,5,5,4,3,3,3,4,5,20,20.0
0,0,22,1,Eco,3784,2,1,1,3,2,4,4,3,3,4,4,4,4,4,0,0.0
1,1,46,1,Business,2837,1,1,3,1,3,2,2,3,3,4,3,2,3,3,7,17.0
1,1,41,1,Eco,481,1,3,3,3,1,1,1,1,3,3,4,2,4,1,0,0.0
1,1,50,1,Business,3449,1,1,1,1,2,4,2,4,4,4,4,1,4,5,0,0.0
0,1,24,0,Eco,190,5,5,5,2,5,5,1,5,3,4,4,3,5,5,0,0.0
0,0,37,1,Business,158,1,1,1,3,5,1,4,5,2,3,4,3,4,5,0,0.0
1,1,80,1,Eco,572,3,5,5,5,3,3,3,3,4,1,4,2,3,3,12,30.0
0,0,38,1,Business,255,1,1,1,2,4,1,4,4,3,5,5,3,5,4,0,8.0
0,0,25,1,Business,728,3,5,3,5,2,3,2,2,5,2,5,4,5,2,0,0.0
1,1,23,1,Eco,289,1,3,3,3,1,1,4,1,2,3,4,4,4,1,81,81.0
0,1,14,0,Eco,102,2,1,2,3,3,2,3,3,1,5,3,3,3,3,2,2.0
1,1,34,1,Eco,251,1,3,3,3,1,1,1,1,1,1,1,2,4,1,0,0.0
