carat,cut,color,clarity,depth,table
0.52,Ideal,H,VVS1,62.4,55.0
0.51,Ideal,I,SI1,62.2,56.0
0.7,Good,E,VS2,60.1,62.0
1.19,Ideal,D,VVS2,62.0,57.0
0.28,Very Good,D,VVS2,62.2,59.0
1.11,Ideal,E,VS2,62.2,56.0
0.5,Very Good,F,SI2,61.4,61.0
0.9,Very Good,F,VS2,62.7,58.0
1.35,Ideal,J,VS2,61.4,57.0
0.54,Very Good,E,VS1,61.7,58.0
0.7,Premium,D,VS2,61.0,60.0
0.3,Ideal,F,IF,62.3,55.0
0.72,Ideal,H,VS1,61.6,59.0
0.57,Very Good,D,SI2,62.1,58.0
0.33,Very Good,G,VS1,60.1,61.0
0.38,Premium,F,VS1,60.9,58.0
0.81,Ideal,I,SI1,61.3,56.0
0.94,Premium,F,SI1,59.8,61.0
0.37,Good,H,SI1,64.0,55.0
0.55,Very Good,H,VVS1,61.1,57.0
0.62,Ideal,E,VVS2,62.0,56.0
0.71,Very Good,H,SI2,63.2,58.0
0.7,Ideal,F,VS1,61.7,55.0
0.3,Premium,G,IF,60.0,59.0
0.41,Ideal,E,VVS2,62.8,54.0
0.71,Ideal,F,SI1,60.9,56.0
1.0,Premium,E,VS1,60.4,59.0
1.62,Premium,F,SI1,62.6,58.0
1.79,Premium,I,VS1,62.6,59.0
0.53,Ideal,D,VVS2,61.6,56.0
2.07,Very Good,I,SI1,62.3,60.0
1.03,Very Good,E,VS2,61.3,61.0
0.42,Premium,H,VS1,61.7,59.0
1.51,Premium,I,VS2,60.5,59.0
0.38,Ideal,E,VS2,61.9,57.0
1.07,Very Good,H,SI2,62.1,58.0
0.34,Ideal,E,SI1,62.7,55.0
0.27,Very Good,E,SI1,61.2,57.0
2.07,Premium,H,SI1,62.0,58.0
1.25,Premium,D,SI2,63.0,62.0
1.51,Good,I,SI1,63.8,57.0
0.7,Good,E,SI2,61.0,64.0
0.34,Ideal,G,VVS2,62.0,55.0
0.32,Premium,F,IF,59.3,58.0
0.31,Ideal,D,VS2,62.2,57.0
1.21,Very Good,I,SI2,63.2,57.0
0.32,Very Good,F,VVS2,61.8,60.0
0.31,Ideal,D,SI2,62.3,56.0
0.39,Good,F,VS1,62.8,61.0
0.42,Ideal,D,VS1,61.5,54.0
0.71,Very Good,G,VS1,59.3,55.0
0.51,Ideal,F,VVS2,61.2,56.0
0.56,Ideal,G,VS2,62.0,56.0
1.62,Ideal,F,SI1,62.7,56.0
1.54,Premium,I,SI2,59.4,61.0
0.92,Very Good,H,VS2,63.4,57.0
0.59,Ideal,D,IF,60.9,60.0
0.33,Premium,H,VS2,60.4,60.0
1.13,Premium,E,SI2,60.4,59.0
0.33,Ideal,D,SI2,62.9,56.0
0.51,Premium,G,VS2,62.2,57.0
0.72,Ideal,E,SI1,61.2,56.0
0.7,Ideal,G,VS2,62.3,57.0
1.1,Ideal,F,SI2,60.4,55.0
0.29,Very Good,E,VS1,60.0,57.0
0.23,Very Good,F,VVS2,61.4,56.0
0.5,Very Good,G,SI1,62.2,58.0
1.57,Premium,H,SI1,62.2,61.0
0.95,Ideal,H,SI1,61.9,56.0
0.32,Very Good,H,VVS1,61.2,57.0
0.57,Ideal,E,SI2,62.1,55.0
0.9,Premium,I,SI2,62.2,59.0
1.06,Premium,D,SI2,59.8,61.0
0.31,Very Good,D,SI1,63.5,56.0
0.71,Ideal,H,SI2,61.8,55.0
1.74,Ideal,J,VS1,61.1,56.0
0.31,Premium,H,VVS1,61.9,58.0
0.31,Premium,D,SI1,61.4,58.0
1.19,Ideal,H,VS1,62.1,54.0
0.4,Ideal,F,SI2,61.5,56.0
2.01,Ideal,F,SI2,61.9,55.0
1.2,Ideal,G,VS1,62.4,57.1
0.57,Ideal,F,VS1,61.9,56.0
1.0,Premium,E,VS1,61.1,60.0
1.0,Premium,D,SI1,60.3,60.0
1.01,Premium,F,VS2,59.2,61.0
0.56,Ideal,E,VS2,61.9,56.0
0.79,Ideal,G,VS1,62.0,56.0
0.52,Ideal,F,VVS2,62.1,54.0
0.29,Ideal,I,VS1,61.7,56.0
1.72,Premium,H,VS1,59.3,59.0
0.77,Very Good,E,SI2,59.9,61.0
0.31,Premium,G,VS1,62.4,58.0
0.42,Very Good,D,VVS2,62.8,59.0
0.32,Ideal,G,IF,62.0,54.0
1.51,Premium,H,VS1,61.8,59.0
0.31,Ideal,D,VS1,62.1,57.0
0.38,Premium,D,SI1,59.7,60.0
1.46,Ideal,G,VS2,62.3,56.0
1.0,Very Good,H,SI2,62.5,58.0
0.51,Very Good,E,SI1,61.6,53.0
0.38,Premium,E,VS2,60.3,58.0
0.5,Ideal,G,SI2,60.7,56.0
0.73,Premium,F,VS2,58.9,60.0
0.7,Premium,H,SI1,60.0,60.0
0.7,Very Good,F,SI1,63.3,59.0
0.58,Ideal,F,VS2,61.5,57.0
0.25,Ideal,E,VVS1,62.3,53.0
0.71,Very Good,E,SI1,61.1,57.0
0.31,Ideal,H,IF,61.8,57.0
1.21,Ideal,F,SI1,62.3,55.7
0.31,Ideal,E,VVS2,61.6,56.0
0.41,Ideal,F,VVS2,61.2,56.0
1.01,Very Good,E,SI1,63.1,55.0
0.78,Ideal,G,VS1,61.6,55.0
1.26,Very Good,G,SI1,63.0,59.0
1.12,Premium,G,SI2,61.2,58.0
1.03,Ideal,D,VS2,62.0,54.8
0.73,Very Good,G,SI2,62.2,58.0
0.38,Ideal,D,SI1,62.3,57.0
2.5,Premium,H,SI2,62.7,59.0
0.31,Ideal,F,VS2,62.6,55.0
0.91,Good,F,VVS2,64.0,61.0
1.15,Premium,G,SI2,62.2,60.0
0.7,Ideal,E,SI2,60.5,56.0
0.34,Ideal,H,VVS2,62.2,55.0
1.51,Ideal,F,SI1,61.5,55.0
1.5,Good,H,SI1,57.9,62.0
1.03,Fair,D,SI2,66.4,56.0
1.01,Very Good,J,SI2,62.2,58.0
1.1,Very Good,F,VS2,61.1,57.0
0.68,Ideal,E,VS1,61.3,55.0
1.01,Good,F,VVS1,63.2,56.0
1.6,Premium,J,VS1,62.6,59.0
1.13,Premium,H,SI1,60.1,60.0
0.47,Premium,I,SI2,61.5,62.0
0.5,Good,F,VS2,57.7,61.0
0.56,Very Good,F,VS2,60.0,57.0
0.5,Very Good,H,VS2,62.9,58.0
0.71,Ideal,F,SI1,61.3,57.0
1.76,Premium,E,SI2,62.1,58.0
2.02,Very Good,J,VS2,59.3,60.0
0.47,Very Good,D,VS1,59.5,61.0
0.5,Ideal,D,SI1,61.8,55.0
0.53,Very Good,G,SI1,60.2,57.0
0.31,Ideal,G,IF,61.7,55.0
1.06,Very Good,D,SI2,60.1,58.0
1.03,Premium,H,SI1,62.2,60.0
1.41,Good,H,VS2,63.8,60.0
1.21,Very Good,G,SI1,63.4,60.0
0.47,Ideal,D,VVS1,62.0,54.0
1.2,Very Good,H,SI1,62.5,59.0
0.84,Ideal,D,VVS1,62.0,54.0
0.31,Premium,G,SI1,61.8,58.0
1.0,Premium,H,SI2,61.2,59.0
0.52,Ideal,G,VS1,61.3,56.0
0.72,Ideal,F,VS2,62.5,56.0
0.61,Ideal,D,VS1,61.9,56.0
2.06,Premium,H,SI2,62.6,58.0
1.0,Fair,E,SI2,64.6,60.0
0.85,Ideal,G,SI1,61.6,55.0
0.57,Ideal,G,VS1,62.1,56.0
0.77,Very Good,I,VS2,60.2,59.0
0.27,Very Good,E,VS2,63.1,57.0
1.09,Ideal,F,SI1,62.0,56.0
0.96,Premium,I,SI2,62.7,58.0
1.0,Good,D,SI2,63.5,59.0
1.01,Good,F,SI1,63.6,58.0
0.3,Ideal,F,IF,62.3,57.0
0.9,Good,H,VS2,64.1,56.0
0.3,Ideal,G,IF,61.5,55.0
0.39,Ideal,J,SI2,62.6,54.0
0.9,Good,G,VVS1,64.0,55.0
2.03,Very Good,D,SI2,62.4,59.0
0.51,Premium,F,SI2,58.9,60.0
0.32,Ideal,D,SI1,62.0,57.0
0.72,Very Good,E,VS2,63.0,56.0
0.34,Ideal,E,VVS2,61.8,56.0
0.91,Very Good,G,VS1,60.9,54.0
2.16,Premium,I,SI1,62.9,55.0
0.71,Very Good,D,SI2,61.8,63.0
0.7,Very Good,F,SI1,61.4,59.0
1.23,Ideal,H,SI2,62.4,57.0
0.33,Ideal,F,VVS2,61.8,54.0
1.18,Ideal,I,VS2,62.3,55.6
0.7,Very Good,H,VS1,61.5,58.0
1.0,Very Good,F,VS1,58.4,63.0
0.72,Premium,J,VS2,61.4,58.0
0.32,Premium,G,SI1,59.6,60.0
1.23,Very Good,F,SI2,60.9,58.0
0.3,Ideal,D,VVS2,61.5,55.0
1.03,Good,G,SI2,63.9,60.0
0.38,Ideal,F,VVS1,61.9,54.0
0.32,Ideal,F,VS2,61.6,55.0
1.0,Premium,F,SI2,62.9,59.0
0.41,Ideal,E,SI1,62.5,57.0
1.35,Good,I,SI2,57.9,60.0
0.33,Premium,G,VVS1,62.1,58.0
0.7,Very Good,E,VS1,62.0,59.0
0.93,Ideal,I,SI1,61.9,57.0
2.14,Very Good,E,SI2,61.5,58.0
0.41,Good,F,I1,63.8,57.0
1.08,Premium,F,SI1,62.1,58.0
2.16,Premium,H,SI2,62.3,57.0
0.71,Very Good,F,VS1,61.2,57.0
1.23,Ideal,D,VS2,62.3,57.0
0.4,Premium,G,VVS2,61.7,59.0
0.71,Premium,G,SI2,59.9,59.0
0.53,Premium,D,VS2,60.4,58.0
0.68,Very Good,E,SI2,63.1,54.5
1.2,Very Good,F,VS2,62.6,56.0
0.3,Ideal,F,IF,60.5,60.0
0.32,Premium,E,SI1,62.3,58.0
0.54,Ideal,F,VVS2,61.0,54.0
1.04,Premium,D,SI2,60.9,57.0
0.94,Good,I,SI2,63.8,60.0
0.41,Ideal,H,SI1,62.6,55.0
1.01,Fair,H,VS2,64.5,60.0
0.32,Ideal,H,VS2,62.0,54.0
0.5,Premium,E,SI1,60.7,61.0
1.64,Very Good,F,SI1,62.8,59.0
0.3,Ideal,E,VVS1,61.2,57.0
0.27,Ideal,E,VS1,61.6,55.0
0.34,Ideal,E,SI1,61.8,56.0
1.5,Good,E,VS2,63.9,58.0
1.01,Good,D,SI1,63.9,62.0
1.0,Ideal,H,SI2,58.3,61.0
0.75,Premium,I,SI2,61.1,57.0
1.33,Ideal,I,SI1,61.6,57.0
0.53,Ideal,J,VS1,61.4,55.2
0.52,Ideal,D,VS2,62.1,57.0
0.35,Ideal,G,VVS1,61.7,56.0
1.22,Premium,G,VS1,62.2,59.0
1.21,Very Good,I,VS1,61.2,58.0
0.71,Very Good,H,SI1,61.5,56.0
0.39,Very Good,I,VVS2,63.0,56.0
1.24,Premium,E,I1,61.1,62.0
1.1,Ideal,H,SI2,62.6,56.0
1.01,Very Good,F,VS2,58.8,59.0
1.05,Very Good,G,SI1,60.2,58.0
0.41,Very Good,E,SI1,61.8,60.0
0.9,Very Good,D,SI2,60.3,63.0
1.0,Ideal,G,VVS2,60.8,57.0
1.2,Ideal,H,VS2,62.8,57.0
1.52,Premium,D,SI2,62.4,59.0
0.52,Good,E,VS2,61.5,61.0
0.8,Ideal,F,SI1,60.1,60.0
1.24,Ideal,I,SI1,61.3,56.0
0.25,Ideal,H,VS2,61.0,55.0
0.59,Ideal,F,SI2,59.5,57.0
0.45,Premium,I,SI2,60.1,59.0
0.73,Ideal,F,VS2,62.7,58.0
0.31,Ideal,D,SI1,62.6,57.0
1.51,Good,G,SI1,63.1,56.0
0.5,Good,G,VVS1,60.0,62.0
1.0,Good,G,VS2,63.4,61.0
0.28,Premium,E,VVS1,61.3,60.0
0.3,Premium,G,VS1,62.2,59.0
0.3,Ideal,H,VVS2,61.9,54.5
0.5,Fair,H,VS1,67.1,58.0
1.0,Premium,F,SI2,62.9,56.0
0.4,Very Good,E,SI1,62.2,56.0
0.52,Ideal,E,VS1,61.9,55.0
0.4,Ideal,F,SI1,62.0,57.0
1.13,Very Good,H,SI2,62.0,58.0
1.01,Premium,F,VS2,62.7,58.0
0.3,Very Good,E,SI1,62.9,57.0
0.7,Very Good,F,SI1,60.3,59.0
1.0,Ideal,E,VS2,61.9,56.0
1.3,Very Good,H,VS1,61.9,56.0
1.05,Very Good,I,VS2,63.1,58.0
1.17,Ideal,G,VS2,62.2,57.0
1.01,Very Good,F,VVS1,62.8,58.0
1.01,Very Good,J,VVS2,62.2,56.0
1.03,Premium,F,SI2,60.2,55.0
0.65,Premium,D,VS1,59.4,62.0
1.17,Ideal,I,SI1,61.7,56.0
0.75,Very Good,F,SI1,62.1,57.0
0.32,Ideal,F,VVS2,62.1,54.0
1.25,Ideal,H,SI2,61.6,54.0
0.3,Good,H,VVS1,63.3,55.0
0.36,Ideal,D,VS2,61.6,56.0
1.15,Ideal,H,VS2,62.4,56.0
0.9,Ideal,H,VS1,60.9,57.0
0.76,Ideal,J,VS1,61.9,54.0
2.2,Premium,J,VS1,61.7,59.0
1.12,Ideal,F,VS2,61.8,55.0
0.41,Ideal,I,VVS2,61.7,56.0
0.53,Ideal,H,VS1,61.7,56.0
1.51,Good,G,VS1,64.0,57.0
0.51,Ideal,G,VS2,60.7,56.0
0.31,Ideal,J,VS1,61.9,54.7
2.14,Good,H,SI1,57.5,60.0
1.02,Ideal,G,IF,62.5,57.0
0.41,Premium,E,VVS1,62.9,59.0
1.02,Premium,J,SI2,61.4,60.0
0.36,Good,E,SI2,63.7,54.0
0.3,Ideal,I,SI1,62.5,58.0
1.21,Ideal,F,VS2,62.9,54.0
0.38,Ideal,E,VS1,60.8,56.0
0.7,Ideal,H,VS1,61.2,55.0
1.0,Premium,G,SI2,63.0,56.0
0.73,Ideal,I,VS2,61.6,55.0
0.52,Ideal,E,VS2,61.0,57.0
2.11,Very Good,I,SI1,62.4,53.0
1.58,Very Good,F,VS2,59.9,61.0
0.57,Ideal,H,SI1,61.8,54.0
0.51,Very Good,J,VS2,62.5,56.0
0.32,Ideal,G,IF,61.7,57.0
0.51,Premium,E,VVS2,62.0,62.0
1.23,Ideal,I,SI2,62.3,55.0
0.4,Good,I,SI1,63.9,57.0
0.71,Very Good,D,VS2,61.8,55.0
0.38,Very Good,I,SI1,60.2,60.0
0.95,Very Good,J,VS2,63.5,56.0
1.01,Very Good,H,VS2,63.2,58.0
0.7,Good,E,SI2,63.6,65.0
1.03,Ideal,D,SI1,61.0,57.0
1.5,Premium,D,SI2,62.6,59.0
0.4,Premium,E,VS1,60.4,59.0
0.37,Very Good,I,VVS2,60.9,58.0
0.36,Premium,F,SI1,61.1,59.0
1.02,Premium,F,SI1,61.4,58.0
0.6,Ideal,E,SI1,61.3,56.0
1.01,Premium,H,SI1,59.5,59.0
1.01,Good,F,SI1,62.4,59.0
1.02,Premium,E,SI2,59.6,59.0
0.5,Very Good,E,VVS2,62.0,55.0
0.3,Ideal,F,VVS1,62.4,57.0
0.35,Ideal,H,VS1,62.0,56.0
0.34,Premium,G,VS2,59.6,62.0
0.52,Premium,D,SI1,60.7,58.0
1.51,Good,G,IF,62.8,60.0
1.19,Very Good,H,VS2,61.1,58.0
0.55,Ideal,D,SI1,60.9,57.0
1.28,Ideal,H,VVS1,61.3,55.0
0.74,Ideal,E,VVS2,61.9,57.0
0.41,Good,J,IF,63.6,54.0
0.51,Good,E,VVS2,60.7,57.7
0.4,Ideal,E,VS1,60.1,57.0
1.2,Very Good,I,SI2,63.7,56.0
0.57,Ideal,H,SI1,61.8,55.0
1.78,Very Good,D,SI2,62.5,57.0
0.72,Ideal,D,VS2,62.1,54.0
0.67,Premium,G,VS2,61.0,61.0
1.72,Fair,D,SI2,64.6,58.0
0.72,Ideal,D,VS2,60.8,56.0
0.75,Fair,F,VS2,65.4,58.0
1.02,Premium,E,SI1,62.8,58.0
0.32,Ideal,E,VVS2,62.3,56.0
1.62,Ideal,H,SI1,60.9,58.0
0.4,Very Good,D,VVS2,58.3,59.0
0.29,Ideal,G,VS2,61.6,56.0
0.94,Premium,F,SI2,62.2,59.0
0.55,Good,F,IF,60.8,60.0
0.57,Premium,D,VS1,60.9,57.0
1.42,Ideal,H,SI2,62.2,56.0
0.31,Ideal,H,VVS2,61.1,56.0
0.35,Ideal,F,VS2,60.5,57.0
0.75,Premium,F,SI2,59.8,60.0
0.3,Very Good,E,VVS2,62.4,58.0
0.28,Very Good,E,VVS2,63.2,56.0
0.36,Ideal,E,VS2,61.3,56.0
0.7,Ideal,G,VS1,62.7,57.0
0.63,Premium,E,VS1,60.4,58.0
0.31,Ideal,G,VS2,62.0,57.0
0.53,Ideal,E,VS2,60.8,55.0
0.54,Ideal,F,SI2,61.1,56.0
1.04,Premium,E,SI2,59.2,58.0
0.39,Premium,G,VVS2,60.7,61.0
0.56,Ideal,G,VS2,61.0,57.0
0.3,Premium,G,VVS2,62.9,58.0
1.52,Ideal,F,VS2,62.5,55.0
0.71,Premium,E,VS2,62.2,59.0
0.54,Ideal,G,VS2,60.4,57.0
0.36,Ideal,D,VS2,61.5,57.0
0.27,Very Good,H,VVS2,62.1,57.0
0.7,Good,F,VS1,63.7,55.0
0.97,Fair,G,I1,57.2,60.0
2.16,Ideal,J,VS1,61.4,55.0
1.1,Ideal,F,VS2,61.4,56.0
0.9,Ideal,F,SI1,60.7,57.0
0.32,Premium,G,IF,59.9,58.0
1.25,Premium,G,VVS1,58.2,61.0
0.73,Premium,H,SI2,58.7,58.0
1.2,Ideal,G,SI1,62.2,58.0
0.31,Ideal,F,IF,61.9,54.0
0.61,Very Good,F,VS2,61.8,56.0
0.53,Ideal,H,VS2,61.4,55.4
2.09,Very Good,H,SI1,61.1,56.0
2.01,Premium,J,SI1,62.3,59.0
0.39,Premium,H,SI1,62.0,60.0
0.3,Premium,H,SI1,61.3,61.0
0.74,Ideal,I,SI1,62.3,57.0
0.59,Very Good,E,VS2,61.8,59.0
0.73,Ideal,I,VS2,61.7,55.0
0.67,Good,J,VS1,64.2,55.6
0.7,Premium,H,VS1,62.3,59.0
2.0,Very Good,I,VS2,63.3,56.0
0.33,Ideal,E,VS2,61.9,56.0
2.01,Ideal,F,SI2,60.0,56.0
0.7,Premium,G,SI1,62.2,58.0
0.73,Ideal,G,SI1,61.4,57.0
1.5,Fair,E,SI1,58.2,66.0
0.31,Very Good,G,VVS1,59.6,59.0
0.56,Very Good,G,VVS2,61.4,57.0
1.37,Very Good,I,SI2,62.2,59.0
2.01,Fair,E,SI2,62.1,66.0
1.32,Premium,H,SI2,59.4,54.0
0.51,Ideal,G,SI1,61.7,54.0
0.92,Very Good,E,SI1,63.2,58.0
1.01,Very Good,J,VS2,60.6,59.0
1.24,Ideal,F,VS2,61.6,54.0
0.33,Ideal,H,IF,61.9,55.0
1.24,Very Good,G,SI1,61.8,58.0
1.01,Very Good,G,SI1,63.4,58.0
0.52,Ideal,E,VS2,61.3,57.0
1.7,Ideal,H,VS1,62.4,55.0
0.7,Very Good,E,SI1,62.7,59.0
0.39,Ideal,G,VVS2,62.2,54.0
1.13,Ideal,F,VS1,61.1,56.0
0.3,Ideal,E,VS1,60.7,57.0
0.41,Good,E,SI1,63.9,58.0
0.31,Ideal,F,VS2,61.9,57.0
1.86,Premium,G,SI2,62.5,60.0
0.78,Ideal,E,SI1,62.1,58.0
0.36,Very Good,F,SI1,60.7,54.0
1.01,Very Good,F,SI1,60.7,58.0
0.44,Good,F,SI1,63.8,54.0
0.41,Ideal,G,VVS2,62.2,54.0
0.81,Ideal,F,SI2,62.6,55.0
0.38,Ideal,G,VS2,60.6,57.0
0.91,Ideal,F,SI2,62.2,56.0
1.32,Ideal,G,VVS2,61.6,56.0
1.02,Ideal,D,SI1,62.8,56.0
0.56,Ideal,D,VS2,61.5,57.0
2.04,Ideal,J,SI1,62.6,55.0
1.52,Ideal,G,VS2,62.1,56.0
1.51,Good,J,VS2,63.7,59.0
0.72,Ideal,F,VS1,60.5,56.0
1.09,Ideal,J,SI2,62.0,55.0
0.56,Ideal,I,VVS1,61.1,55.0
0.42,Ideal,I,VVS1,62.7,55.0
1.15,Very Good,H,SI2,61.4,58.0
0.3,Ideal,F,VS2,62.1,55.0
0.33,Ideal,E,VVS1,61.9,57.0
0.31,Ideal,G,VS2,62.3,56.0
0.31,Ideal,D,VVS2,61.9,55.0
0.71,Premium,I,VVS2,61.9,60.0
0.33,Very Good,E,VS2,60.6,58.0
1.1,Premium,D,SI1,58.8,61.0
0.3,Ideal,E,VVS2,60.8,56.0
1.0,Good,E,SI2,63.7,61.0
1.01,Ideal,G,SI1,60.7,58.0
0.79,Ideal,G,SI1,62.3,57.0
1.5,Very Good,G,SI1,62.8,57.0
0.3,Very Good,H,SI1,63.4,57.0
0.28,Very Good,H,VVS2,62.4,54.0
0.53,Good,H,SI1,63.7,55.0
1.21,Premium,G,VS1,62.7,58.0
0.73,Ideal,I,VS2,62.1,54.0
1.49,Fair,H,I1,66.9,61.0
0.75,Ideal,G,SI1,62.2,55.0
0.5,Very Good,G,VVS2,62.9,57.0
0.7,Ideal,F,VS1,61.2,54.0
0.52,Ideal,H,VVS1,60.4,57.0
0.71,Very Good,H,SI1,63.1,56.0
1.03,Good,D,SI2,63.8,54.0
2.01,Ideal,H,SI2,60.1,57.0
0.55,Ideal,F,SI1,61.9,55.0
1.5,Good,I,SI1,63.8,59.0
1.2,Very Good,J,VS2,63.1,56.0
0.34,Ideal,E,VS1,61.2,57.0
0.6,Ideal,F,VS2,62.1,57.0
1.0,Premium,E,SI1,60.5,59.0
0.7,Ideal,G,VS2,61.9,56.0
1.2,Very Good,E,SI1,62.7,57.0
1.22,Premium,I,VS2,62.9,58.0
1.01,Ideal,E,VVS2,62.0,56.0
0.3,Ideal,J,VS1,62.6,53.0
1.58,Premium,D,SI1,62.7,60.0
1.03,Ideal,H,SI1,62.0,57.0
0.53,Ideal,H,VS1,62.1,56.0
1.08,Ideal,H,SI1,59.7,60.0
0.37,Premium,E,SI1,59.3,58.0
0.32,Fair,D,VVS1,62.4,61.0
1.29,Fair,H,I1,67.7,62.0
0.27,Ideal,F,IF,61.3,57.0
1.07,Ideal,H,SI2,61.0,55.0
0.44,Ideal,H,IF,61.9,54.0
0.5,Ideal,E,VS2,62.5,57.0
0.3,Very Good,G,SI1,62.4,54.0
0.91,Premium,D,VS2,62.7,59.0
0.25,Premium,E,VVS1,60.7,60.0
1.27,Premium,I,SI2,62.0,60.0
1.05,Ideal,G,VS2,61.9,56.0
2.06,Very Good,I,SI2,62.3,57.0
1.62,Very Good,E,SI2,60.8,59.0
1.11,Premium,H,SI2,61.6,60.0
0.66,Premium,J,SI1,61.0,61.0
0.32,Good,D,SI2,63.4,56.0
0.21,Premium,E,VS2,60.5,59.0
0.41,Premium,D,VVS1,61.6,58.0
0.3,Ideal,E,VS2,61.4,56.0
0.38,Ideal,H,VS2,61.9,56.0
0.31,Ideal,G,VVS2,61.7,54.0
0.6,Fair,E,SI2,66.5,56.0
2.04,Ideal,H,SI2,61.2,56.0
0.4,Ideal,D,VVS2,62.0,56.0
0.41,Ideal,E,VVS2,61.8,57.0
0.3,Ideal,F,VVS1,62.2,57.0
0.3,Premium,E,SI1,61.9,58.0
1.32,Ideal,I,VVS1,61.0,56.0
0.3,Ideal,F,VVS1,62.4,54.0
1.13,Premium,I,VS2,62.0,58.0
1.52,Premium,G,VS1,61.4,58.0
0.56,Very Good,E,VS1,62.0,58.9
1.0,Premium,G,VS2,60.0,59.0
0.7,Premium,F,VVS2,62.6,59.0
0.32,Ideal,D,SI1,62.7,54.0
0.36,Ideal,H,VS2,61.0,56.0
0.3,Ideal,H,VVS2,61.6,55.0
0.39,Very Good,E,VS2,60.1,61.0
0.4,Good,F,VS1,63.0,62.0
2.05,Ideal,G,SI1,61.9,57.0
1.12,Ideal,G,VVS2,62.0,55.0
1.14,Ideal,G,VS1,61.8,55.0
0.32,Premium,E,VS2,60.5,59.0
0.23,Very Good,E,VVS1,61.7,59.0
0.78,Premium,F,SI1,62.3,57.0
0.28,Ideal,F,IF,62.4,55.0
1.01,Good,G,VS1,63.2,58.0
0.8,Ideal,E,SI2,61.0,55.0
0.4,Premium,E,SI2,58.7,59.0
1.58,Ideal,I,SI1,61.7,56.0
0.24,Very Good,E,VVS1,63.5,57.0
1.01,Ideal,J,SI1,60.2,59.0
2.28,Premium,H,SI1,59.3,58.0
0.9,Very Good,E,SI1,63.1,60.0
0.7,Very Good,H,SI1,62.2,56.0
0.4,Very Good,H,SI1,62.6,57.0
1.02,Good,E,SI1,63.2,61.0
0.81,Ideal,E,SI2,61.8,56.0
2.17,Premium,J,SI2,62.3,60.0
0.91,Very Good,H,VS2,63.1,59.0
0.55,Ideal,H,VVS1,60.5,57.0
0.71,Premium,F,SI2,62.3,60.0
1.0,Ideal,F,SI1,61.9,56.0
0.49,Ideal,G,VS2,61.1,57.0
0.7,Premium,D,VS1,62.9,59.0
1.0,Very Good,H,SI1,62.4,58.0
0.39,Ideal,F,IF,61.9,57.0
1.14,Very Good,F,VS2,59.0,60.0
0.31,Ideal,G,VVS2,62.1,54.0
0.32,Good,E,SI1,63.3,55.0
0.71,Premium,D,SI1,62.7,60.0
0.96,Ideal,F,VS1,61.2,56.0
0.3,Premium,J,SI2,59.3,61.0
0.23,Very Good,F,IF,61.0,62.0
0.96,Very Good,D,SI2,60.2,63.0
0.34,Very Good,F,IF,61.1,54.0
0.26,Ideal,H,VS1,62.1,56.0
0.33,Premium,E,SI1,62.2,59.0
0.33,Ideal,H,SI1,61.0,55.0
0.71,Ideal,D,SI2,60.4,56.0
0.31,Premium,J,SI1,58.1,62.0
1.29,Ideal,G,VS2,61.3,57.0
0.33,Ideal,D,VS2,61.9,57.0
1.0,Premium,F,SI2,61.5,58.0
1.51,Premium,E,VS1,62.7,58.0
1.11,Premium,G,VS2,61.0,59.0
1.0,Good,E,SI1,63.7,60.0
0.5,Ideal,H,VVS1,61.4,57.0
0.4,Good,H,SI2,63.8,57.0
2.35,Premium,I,SI2,61.1,58.0
0.3,Very Good,G,VVS1,62.4,57.0
0.82,Ideal,I,VS1,61.6,56.0
0.72,Ideal,H,VVS2,61.6,56.0
0.33,Ideal,G,VS2,61.2,55.0
1.01,Premium,F,SI1,60.6,59.0
0.5,Ideal,D,SI1,62.9,57.0
0.72,Ideal,D,VS2,62.8,57.0
0.29,Very Good,F,VVS1,62.1,55.0
0.4,Good,I,VS2,64.1,57.0
0.7,Premium,G,I1,59.2,61.0
1.07,Premium,D,SI1,60.2,55.0
0.31,Ideal,G,VVS2,62.6,57.0
1.6,Ideal,G,SI1,62.1,56.0
1.02,Premium,J,SI1,61.8,58.0
0.25,Ideal,F,SI1,61.5,56.0
1.21,Ideal,H,SI1,62.9,57.0
1.0,Premium,G,SI2,61.4,61.0
0.7,Very Good,D,VS2,59.7,59.0
0.31,Ideal,D,VS2,61.5,56.0
0.4,Very Good,F,SI1,59.6,61.0
1.59,Ideal,J,VVS2,60.3,57.0
0.43,Very Good,F,VS2,61.1,57.0
0.35,Premium,G,VS1,61.2,56.0
0.55,Ideal,D,VVS2,61.1,57.0
0.41,Very Good,I,VVS1,63.1,58.0
0.34,Ideal,D,VS1,62.6,56.0
1.11,Very Good,E,VVS1,60.2,59.0
2.21,Very Good,G,SI2,60.7,62.0
0.91,Ideal,F,SI1,62.3,56.0
0.6,Very Good,D,VS2,63.7,56.0
1.04,Premium,G,VS1,62.0,56.0
0.82,Ideal,D,SI1,62.2,55.0
1.53,Very Good,H,VS2,62.2,58.0
0.71,Premium,F,VVS1,60.9,58.0
0.61,Premium,I,VS2,58.8,58.0
0.71,Ideal,E,SI1,61.7,56.0
1.0,Very Good,F,VS1,62.1,60.0
1.52,Premium,H,SI1,61.0,58.0
1.01,Ideal,F,SI2,61.7,56.0
0.51,Ideal,E,SI1,61.7,55.0
1.2,Premium,I,VVS2,63.0,60.0
